round,match,team_a_top,team_a_probability,team_b_top,team_b_probability,winner_top,winner_probability
round_of_32,73,South Korea,0.5293333333333333,Canada,0.329,South Korea,0.3426666666666667
round_of_32,74,Germany,0.7533333333333333,Czechia,0.3446666666666667,Germany,0.5983333333333334
round_of_32,75,Japan,0.4253333333333333,Morocco,0.404,Japan,0.2296666666666666
round_of_32,76,Brazil,0.4746666666666667,Japan,0.3896666666666666,Brazil,0.2823333333333333
round_of_32,77,France,0.7996666666666666,Scotland,0.2343333333333333,France,0.624
round_of_32,78,Ivory Coast,0.6226666666666667,Norway,0.5693333333333334,Norway,0.3153333333333333
round_of_32,79,Mexico,0.5903333333333334,Ecuador,0.4063333333333333,Mexico,0.3673333333333333
round_of_32,80,England,0.9266666666666666,Uzbekistan,0.2006666666666666,England,0.705
round_of_32,81,Australia,0.4846666666666667,Sweden,0.2616666666666666,Australia,0.305
round_of_32,82,Belgium,0.458,Saudi Arabia,0.1643333333333333,Belgium,0.29
round_of_32,83,Portugal,0.3866666666666666,Croatia,0.6426666666666667,Croatia,0.294
round_of_32,84,Spain,0.7436666666666667,Austria,0.6263333333333333,Spain,0.591
round_of_32,85,Switzerland,0.4736666666666667,Egypt,0.1953333333333333,Switzerland,0.2636666666666666
round_of_32,86,Argentina,0.9153333333333332,Uruguay,0.4173333333333333,Argentina,0.7506666666666667
round_of_32,87,Colombia,0.5596666666666666,Panama,0.3223333333333333,Colombia,0.4033333333333333
round_of_32,88,Australia,0.388,Egypt,0.3123333333333333,Australia,0.2306666666666666
round_of_16,89,South Korea,0.3426666666666667,Japan,0.2296666666666666,Brazil,0.162
round_of_16,90,Germany,0.5983333333333334,France,0.624,France,0.451
round_of_16,91,Brazil,0.2823333333333333,Norway,0.3153333333333333,Brazil,0.1816666666666666
round_of_16,92,Mexico,0.3673333333333333,England,0.705,England,0.4833333333333333
round_of_16,93,Croatia,0.294,Spain,0.591,Spain,0.451
round_of_16,94,Australia,0.305,Belgium,0.29,Australia,0.1743333333333333
round_of_16,95,Argentina,0.7506666666666667,Australia,0.2306666666666666,Argentina,0.621
round_of_16,96,Switzerland,0.2636666666666666,Colombia,0.4033333333333333,Colombia,0.2846666666666667
quarterfinals,97,Brazil,0.162,France,0.451,France,0.3216666666666666
quarterfinals,98,Spain,0.451,Australia,0.1743333333333333,Spain,0.3843333333333333
quarterfinals,99,Brazil,0.1816666666666666,England,0.4833333333333333,England,0.3016666666666667
quarterfinals,100,Argentina,0.621,Colombia,0.2846666666666667,Argentina,0.4946666666666666
semifinals,101,France,0.3216666666666666,Spain,0.3843333333333333,Spain,0.2553333333333333
semifinals,102,England,0.3016666666666667,Argentina,0.4946666666666666,Argentina,0.3543333333333333
final,104,Spain,0.2553333333333333,Argentina,0.3543333333333333,Argentina,0.25
